Rxn name	Rxn description	Formula	Gene-reaction association	Genes	Subsystem	Reversible	LB	UB
2PGtex	D Glycerate 2 phosphate transport via diffusion extracellular to periplasm 	2pg[e] <=> 2pg[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
34DHPACDO	3 4 dihydroxyphenylacetate 2 3 dioxygenase	34dhpacet[c] + o2[c] --> 2h5cmmusa[c] + h[c] 	STM1103	STM1103	4 hydroxyphenylacetate catabolism	0	0	1000
34dhpactex	dihydroxyphenylacetaldehyde transport via diffusion extracellular to periplasm 	34dhpac[e] <=> 34dhpac[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
35PDE	3,5-cAMP Phosphodiesterase	camp[c] + h2o[c] --> amp[c] + h[c] 			Nucleotide Salvage Pathway	0	0	1000
3AMPtex	3AMP transport via diffusion extracellular to periplasm 	3amp[e] <=> 3amp[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
3CMPtex	3CMP transport via diffusion extracellular to periplasm 	3cmp[e] <=> 3cmp[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
3GMPtex	3GMP transport via diffusion extracellular to periplasm 	3gmp[e] <=> 3gmp[p] 	( STM0320  or  STM1473  or  STM2267  or  STM0999 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
3HAD100	3 hydroxyacyl acyl carrier protein dehydratase n C100 	3hdecACP[c] --> h2o[c] + tdec2eACP[c] 	( STM1067  or  STM0227 )	STM0227 STM1067	Cell Envelope Biosynthesis	0	0	1000
3HAD120	3 hydroxyacyl acyl carrier protein dehydratase n C120 	3hddecACP[c] --> h2o[c] + tddec2eACP[c] 	( STM1067  or  STM0227 )	STM0227 STM1067	Cell Envelope Biosynthesis	0	0	1000
3HAD121	3 hydroxyacyl acyl carrier protein dehydratase n C121 	3hcddec5eACP[c] --> h2o[c] + t3c5ddeceACP[c] 	( STM0227  or  STM1067 )	STM0227 STM1067	Cell Envelope Biosynthesis	0	0	1000
3HAD140	3 hydroxyacyl acyl carrier protein dehydratase n C140 	3hmrsACP[c] --> h2o[c] + tmrs2eACP[c] 	( STM1067  or  STM0227 )	STM0227 STM1067	Cell Envelope Biosynthesis	0	0	1000
3HAD141	3 hydroxyacyl acyl carrier protein dehydratase n C141 	3hcmrs7eACP[c] --> h2o[c] + t3c7mrseACP[c] 	( STM1067  or  STM0227 )	STM0227 STM1067	Cell Envelope Biosynthesis	0	0	1000
3HAD160	3 hydroxyacyl acyl carrier protein dehydratase n C160 	3hpalmACP[c] --> h2o[c] + tpalm2eACP[c] 	( STM1067  or  STM0227 )	STM0227 STM1067	Cell Envelope Biosynthesis	0	0	1000
3HAD161	3 hydroxyacyl acyl carrier protein dehydratase n C161 	3hcpalm9eACP[c] --> h2o[c] + t3c9palmeACP[c] 	( STM0227  or  STM1067 )	STM0227 STM1067	Cell Envelope Biosynthesis	0	0	1000
3HAD180	3 hydroxyacyl acyl carrier protein dehydratase n C180 	3hoctaACP[c] --> h2o[c] + toctd2eACP[c] 	( STM1067  or  STM0227 )	STM0227 STM1067	Cell Envelope Biosynthesis	0	0	1000
3HAD181	3 hydroxyacyl acyl carrier protein dehydratase n C181 	3hcvac11eACP[c] --> h2o[c] + t3c11vaceACP[c] 	( STM0227  or  STM1067 )	STM0227 STM1067	Cell Envelope Biosynthesis	0	0	1000
3HAD40	3 hydroxyacyl acyl carrier protein dehydratase n C40 	3haACP[c] --> but2eACP[c] + h2o[c] 	( STM1067  or  STM0227 )	STM0227 STM1067	Cell Envelope Biosynthesis	0	0	1000
3HAD60	3 hydroxyacyl acyl carrier protein dehydratase n C60 	3hhexACP[c] --> h2o[c] + thex2eACP[c] 	( STM1067  or  STM0227 )	STM0227 STM1067	Cell Envelope Biosynthesis	0	0	1000
3HAD80	3 hydroxyacyl acyl carrier protein dehydratase n C80 	3hoctACP[c] --> h2o[c] + toct2eACP[c] 	( STM1067  or  STM0227 )	STM0227 STM1067	Cell Envelope Biosynthesis	0	0	1000
3KGK	3 keto L gulonate kinase	3dhguln[c] + atp[c] --> 3dhgulnp[c] + adp[c] + h[c] 	STM3674	STM3674	Alternate Carbon Metabolism	0	0	1000
3NTD2pp	3 nucleotidase UMP  periplasm 	3ump[p] + h2o[p] --> pi[p] + uri[p] 	STM4403	STM4403	Nucleotide Salvage Pathway	0	0	1000
3NTD4pp	3 nucleotidase CMP  periplasm 	3cmp[p] + h2o[p] --> cytd[p] + pi[p] 	( STM4403  or  STM2927 )	STM2927 STM4403	Nucleotide Salvage Pathway	0	0	1000
3NTD7pp	3 nucleotidase AMP  periplasm 	3amp[p] + h2o[p] --> adn[p] + pi[p] 	( STM4403  or  STM2927 )	STM2927 STM4403	Nucleotide Salvage Pathway	0	0	1000
3NTD9pp	3 nucleotidase GMP  periplasm 	3gmp[p] + h2o[p] --> gsn[p] + pi[p] 	STM4403	STM4403	Nucleotide Salvage Pathway	0	0	1000
3OAR100	3 oxoacyl acyl carrier protein reductase n C100 	3odecACP[c] + h[c] + nadph[c] <=> 3hdecACP[c] + nadp[c] 	STM1195	STM1195	Cell Envelope Biosynthesis	1	-1000	1000
3OAR120	3 oxoacyl acyl carrier protein reductase n C120 	3oddecACP[c] + h[c] + nadph[c] <=> 3hddecACP[c] + nadp[c] 	STM1195	STM1195	Cell Envelope Biosynthesis	1	-1000	1000
3OAR121	3 oxoacyl acyl carrier protein reductase n C121 	3ocddec5eACP[c] + h[c] + nadph[c] --> 3hcddec5eACP[c] + nadp[c] 	STM1195	STM1195	Cell Envelope Biosynthesis	0	0	1000
3OAR140	3 oxoacyl acyl carrier protein reductase n C140 	3omrsACP[c] + h[c] + nadph[c] <=> 3hmrsACP[c] + nadp[c] 	STM1195	STM1195	Cell Envelope Biosynthesis	1	-1000	1000
3OAR141	3 oxoacyl acyl carrier protein reductase n C141 	3ocmrs7eACP[c] + h[c] + nadph[c] --> 3hcmrs7eACP[c] + nadp[c] 	STM1195	STM1195	Cell Envelope Biosynthesis	0	0	1000
3OAR160	3 oxoacyl acyl carrier protein reductase n C160 	3opalmACP[c] + h[c] + nadph[c] <=> 3hpalmACP[c] + nadp[c] 	STM1195	STM1195	Cell Envelope Biosynthesis	1	-1000	1000
3OAR161	3 oxoacyl acyl carrier protein reductase n C161 	3ocpalm9eACP[c] + h[c] + nadph[c] --> 3hcpalm9eACP[c] + nadp[c] 	STM1195	STM1195	Cell Envelope Biosynthesis	0	0	1000
3OAR180	3 oxoacyl acyl carrier protein reductase n C180 	3ooctdACP[c] + h[c] + nadph[c] <=> 3hoctaACP[c] + nadp[c] 	STM1195	STM1195	Cell Envelope Biosynthesis	1	-1000	1000
3OAR181	3 oxoacyl acyl carrier protein reductase n C181 	3ocvac11eACP[c] + h[c] + nadph[c] --> 3hcvac11eACP[c] + nadp[c] 	STM1195	STM1195	Cell Envelope Biosynthesis	0	0	1000
3OAR40	3 oxoacyl acyl carrier protein reductase n C40 	actACP[c] + h[c] + nadph[c] <=> 3haACP[c] + nadp[c] 	STM1195	STM1195	Cell Envelope Biosynthesis	1	-1000	1000
3OAR60	3 oxoacyl acyl carrier protein reductase n C60 	3ohexACP[c] + h[c] + nadph[c] <=> 3hhexACP[c] + nadp[c] 	STM1195	STM1195	Cell Envelope Biosynthesis	1	-1000	1000
3OAR80	3 oxoacyl acyl carrier protein reductase n C80 	3ooctACP[c] + h[c] + nadph[c] <=> 3hoctACP[c] + nadp[c] 	STM1195	STM1195	Cell Envelope Biosynthesis	1	-1000	1000
3OAS100	3 oxoacyl acyl carrier protein synthase n C100 	h[c] + malACP[c] + ocACP[c] --> 3odecACP[c] + ACP[c] + co2[c] 	( STM2378  or  STM1197 )	STM1197 STM2378	Cell Envelope Biosynthesis	0	0	1000
3OAS120	3 oxoacyl acyl carrier protein synthase n C120 	dcaACP[c] + h[c] + malACP[c] --> 3oddecACP[c] + ACP[c] + co2[c] 	( STM2378  or  STM1197 )	STM1197 STM2378	Cell Envelope Biosynthesis	0	0	1000
3OAS121	3 oxoacyl acyl carrier protein synthase n C121 	cdec3eACP[c] + h[c] + malACP[c] --> 3ocddec5eACP[c] + ACP[c] + co2[c] 	STM2378	STM2378	Cell Envelope Biosynthesis	0	0	1000
3OAS140	3 oxoacyl acyl carrier protein synthase n C140 	ddcaACP[c] + h[c] + malACP[c] --> 3omrsACP[c] + ACP[c] + co2[c] 	( STM2378  or  STM1197 )	STM1197 STM2378	Cell Envelope Biosynthesis	0	0	1000
3OAS141	3 oxoacyl acyl carrier protein synthase n C141 	cddec5eACP[c] + h[c] + malACP[c] --> 3ocmrs7eACP[c] + ACP[c] + co2[c] 	STM2378	STM2378	Cell Envelope Biosynthesis	0	0	1000
3OAS160	3 oxoacyl acyl carrier protein synthase n C160 	h[c] + malACP[c] + myrsACP[c] --> 3opalmACP[c] + ACP[c] + co2[c] 	( STM2378  or  STM1197 )	STM1197 STM2378	Cell Envelope Biosynthesis	0	0	1000
3OAS161	3 oxoacyl acyl carrier protein synthase n C161 	h[c] + malACP[c] + tdeACP[c] --> 3ocpalm9eACP[c] + ACP[c] + co2[c] 	STM2378	STM2378	Cell Envelope Biosynthesis	0	0	1000
3OAS180	3 oxoacyl acyl carrier protein synthase n C180 	h[c] + malACP[c] + palmACP[c] --> 3ooctdACP[c] + ACP[c] + co2[c] 	( STM1197  or  STM2378 )	STM1197 STM2378	Cell Envelope Biosynthesis	0	0	1000
3OAS181	3 oxoacyl acyl carrier protein synthase n C181 	h[c] + hdeACP[c] + malACP[c] --> 3ocvac11eACP[c] + ACP[c] + co2[c] 	STM1197	STM1197	Cell Envelope Biosynthesis	0	0	1000
3OAS60	3 oxoacyl acyl carrier protein synthase n C60 	butACP[c] + h[c] + malACP[c] --> 3ohexACP[c] + ACP[c] + co2[c] 	( STM2378  or  STM1197 )	STM1197 STM2378	Cell Envelope Biosynthesis	0	0	1000
3OAS80	3 oxoacyl acyl carrier protein synthase n C80 	h[c] + hexACP[c] + malACP[c] --> 3ooctACP[c] + ACP[c] + co2[c] 	( STM2378  or  STM1197 )	STM1197 STM2378	Cell Envelope Biosynthesis	0	0	1000
3PEPTabcpp	tripeptide LalaDgluMdap transport via ABC system periplasm 	LalaDgluMdap[p] + atp[c] + h2o[c] --> LalaDgluMdap[c] + adp[c] + h[c] + pi[c] 	( STM1679  and  STM1745  and  STM1744  and  STM1743  and  STM1742 )	STM1679 STM1742 STM1743 STM1744 STM1745	Murein Recycling	0	0	1000
3PEPTtex	LalaDgluMdap tripeptide transport via diffusion extracellular to periplasm 	LalaDgluMdap[e] <=> LalaDgluMdap[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
3PGt6pp	3 Phospho D glycerate phosphate antiporter periplasm 	3pg[p] + pi[c] --> 3pg[c] + pi[p] 	STM2399	STM2399	Transport Inner Membrane	0	0	1000
3PGtex	3 Phospho D glycerate transport via diffusion extracellular to periplasm 	3pg[e] <=> 3pg[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
3UMPtex	3UMP transport via diffusion extracellular to periplasm 	3ump[e] <=> 3ump[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
4C2HM6SADH	4 carboxy 2 hydroxymuconate 6 semialdehyde dehydrogenase	2h5cmmusa[c] + h2o[c] + nad[c] --> 5cm2hmu[c] + 2 h[c] + nadh[c] 	STM1102	STM1102	4 hydroxyphenylacetate catabolism	0	0	1000
4H2KPILY	4h2kpi Lyase	4h2kpi[c] --> pyr[c] + sucsal[c] 	STM1106	STM1106	4 hydroxyphenylacetate catabolism	0	0	1000
4HOXPACDtex	4 hydroxyphenylacetaldehyde transport via diffusion extracellular to periplasm 	4hoxpacd[e] <=> 4hoxpacd[p] 	( STM0320  or  STM0999  or  STM1473  or  STM2267 )	STM0320 STM0999 STM1473 STM2267	Transport Outer Membrane Porin	1	-1000	1000
