Metabolite name	Metabolite name	Metabolite description	Charged Metabolite formula	Metabolite charge	Metabolite Compartment	Metabolite KeggID	Metabolite PubChemID	Metabolite CheBI ID
25aics[c]	25aics	S-2-5-Amino-1-5-phospho-D-ribosyl-imidazole-4-carboxamidosuccinate	C13H15N4O12P	-4	cytoplasm	C04823	7384	18319
25dkglcn[c]	25dkglcn	2-5-diketo-D-gluconate	C6H7O7	-1	cytoplasm	C02780	5731	18281
25drapp[c]	25drapp	2-5-Diamino-6-ribosylamino-4-3H-pyrimidinone-5-phosphate	C9H14N5O8P	-2	cytoplasm			
26dap-LL[c]	26dap-LL	LL-2-6-Diaminoheptanedioate	C7H14N2O4	0	cytoplasm	C00666	3935	16026
26dap-M[c]	26dap-M	meso-2-6-Diaminoheptanedioate	C7H14N2O4	0	cytoplasm	C00680	3949	 16488 30308
26dap-M[e]	26dap-M	meso-2-6-Diaminoheptanedioate	C7H14N2O4	0	extra-organism	C00680	3949	 16488 30308
26dap-M[p]	26dap-M	meso-2-6-Diaminoheptanedioate	C7H14N2O4	0	periplasm	C00680	3949	 16488 30308
2agpe120[c]	2agpe120	2-Acyl-sn-glycero-3-phosphoethanolamine-n-C120	C17H36NO7P1	0	cytoplasm	C05973	8253	
2agpe120[p]	2agpe120	2-Acyl-sn-glycero-3-phosphoethanolamine-n-C120	C17H36NO7P1	0	periplasm	C05973	8253	
2agpe140[c]	2agpe140	2-Acyl-sn-glycero-3-phosphoethanolamine-n-C140	C19H40NO7P1	0	cytoplasm	C05973	8253	
2agpe140[p]	2agpe140	2-Acyl-sn-glycero-3-phosphoethanolamine-n-C140	C19H40NO7P1	0	periplasm	C05973	8253	
2agpe141[c]	2agpe141	2-Acyl-sn-glycero-3-phosphoethanolamine-n-C141	C19H38NO7P1	0	cytoplasm	C05973	8253	
2agpe141[p]	2agpe141	2-Acyl-sn-glycero-3-phosphoethanolamine-n-C141	C19H38NO7P1	0	periplasm	C05973	8253	
2agpe160[c]	2agpe160	2-Acyl-sn-glycero-3-phosphoethanolamine-n-C160	C21H44NO7P1	0	cytoplasm	C05973	8253	
2agpe160[p]	2agpe160	2-Acyl-sn-glycero-3-phosphoethanolamine-n-C160	C21H44NO7P1	0	periplasm	C05973	8253	
2agpe161[c]	2agpe161	2-Acyl-sn-glycero-3-phosphoethanolamine-n-C161	C21H42NO7P1	0	cytoplasm	C05973	8253	
2agpe161[p]	2agpe161	2-Acyl-sn-glycero-3-phosphoethanolamine-n-C161	C21H42NO7P1	0	periplasm	C05973	8253	
2agpe180[c]	2agpe180	2-Acyl-sn-glycero-3-phosphoethanolamine-n-C180	C23H48NO7P1	0	cytoplasm	C05973	8253	
2agpe180[p]	2agpe180	2-Acyl-sn-glycero-3-phosphoethanolamine-n-C180	C23H48NO7P1	0	periplasm	C05973	8253	
2agpe181[c]	2agpe181	2-Acyl-sn-glycero-3-phosphoethanolamine-n-C181	C23H46NO7P1	0	cytoplasm	C05973	8253	
2agpe181[p]	2agpe181	2-Acyl-sn-glycero-3-phosphoethanolamine-n-C181	C23H46NO7P1	0	periplasm	C05973	8253	
2agpg120[c]	2agpg120	2-Acyl-sn-glycero-3-phosphoglycerol-n-C120	C18H36O9P1	-1	cytoplasm			
2agpg120[p]	2agpg120	2-Acyl-sn-glycero-3-phosphoglycerol-n-C120	C18H36O9P1	-1	periplasm			
2agpg140[c]	2agpg140	2-Acyl-sn-glycero-3-phosphoglycerol-n-C140	C20H40O9P1	-1	cytoplasm			
2agpg140[p]	2agpg140	2-Acyl-sn-glycero-3-phosphoglycerol-n-C140	C20H40O9P1	-1	periplasm			
2agpg141[c]	2agpg141	2-Acyl-sn-glycero-3-phosphoglycerol-n-C141	C20H38O9P1	-1	cytoplasm			
2agpg141[p]	2agpg141	2-Acyl-sn-glycero-3-phosphoglycerol-n-C141	C20H38O9P1	-1	periplasm			
2agpg160[c]	2agpg160	2-Acyl-sn-glycero-3-phosphoglycerol-n-C160	C22H44O9P1	-1	cytoplasm			
2agpg160[p]	2agpg160	2-Acyl-sn-glycero-3-phosphoglycerol-n-C160	C22H44O9P1	-1	periplasm			
2agpg161[c]	2agpg161	2-Acyl-sn-glycero-3-phosphoglycerol-n-C161	C22H42O9P1	-1	cytoplasm			
2agpg161[p]	2agpg161	2-Acyl-sn-glycero-3-phosphoglycerol-n-C161	C22H42O9P1	-1	periplasm			
2agpg180[c]	2agpg180	2-Acyl-sn-glycero-3-phosphoglycerol-n-C180	C24H48O9P1	-1	cytoplasm			
2agpg180[p]	2agpg180	2-Acyl-sn-glycero-3-phosphoglycerol-n-C180	C24H48O9P1	-1	periplasm			
2agpg181[c]	2agpg181	2-Acyl-sn-glycero-3-phosphoglycerol-n-C181	C24H46O9P1	-1	cytoplasm			
2agpg181[p]	2agpg181	2-Acyl-sn-glycero-3-phosphoglycerol-n-C181	C24H46O9P1	-1	periplasm			
2ahbut[c]	2ahbut	S-2-Aceto-2-hydroxybutanoate	C6H9O4	-1	cytoplasm	C06006	8279	 27681 49256
2amsa[c]	2amsa	2-Aminomalonate-semialdehyde	C3H5NO3	0	cytoplasm	C11822	13986	37012
2aobut[c]	2aobut	L-2-Amino-3-oxobutanoate	C4H7NO3	0	cytoplasm	C03508	6318	16944
2cpr5p[c]	2cpr5p	1-2-Carboxyphenylamino-1-deoxy-D-ribulose-5-phosphate	C12H13NO9P	-3	cytoplasm	C01302	4520	29112
2dda7p[c]	2dda7p	2-Dehydro-3-deoxy-D-arabino-heptonate-7-phosphate	C7H10O10P	-3	cytoplasm	C04691	7271	18150
2ddecg3p[c]	2ddecg3p	2-dodecanoyl-sn-glycerol-3-phosphate	C15H30O7P1	-1	cytoplasm	C03974	6693	
2ddecg3p[p]	2ddecg3p	2-dodecanoyl-sn-glycerol-3-phosphate	C15H30O7P1	-1	periplasm	C03974	6693	
2ddg6p[c]	2ddg6p	2-Dehydro-3-deoxy-D-gluconate-6-phosphate	C6H8O9P	-3	cytoplasm	C04442	7071	15925
2ddglcn[c]	2ddglcn	2-Dehydro-3-deoxy-D-gluconate	C6H9O6	-1	cytoplasm	C00204	3504	17032
2ddglcn[e]	2ddglcn	2-Dehydro-3-deoxy-D-gluconate	C6H9O6	-1	extra-organism	C00204	3504	17032
2ddglcn[p]	2ddglcn	2-Dehydro-3-deoxy-D-gluconate	C6H9O6	-1	periplasm	C00204	3504	17032
2dh3dgal6p[c]	2dh3dgal6p	2-Dehydro-3-deoxy-D-galactonate-6-phosphate	C6H8O9P	-3	cytoplasm	C01286	4505	17860
2dh3dgal[c]	2dh3dgal	2-Dehydro-3-deoxy-D-galactonate	C6H9O6	-1	cytoplasm	C01216	4438	17028
2dhglcn[c]	2dhglcn	2-Dehydro-D-gluconate	C6H9O7	-1	cytoplasm	C00629	3902	16808
2dhguln[c]	2dhguln	2-Dehydro-L-gulonate	C6H9O7	-1	cytoplasm		3458	30769
2dhp[c]	2dhp	2-Dehydropantoate	C6H9O4	-1	cytoplasm	C00966	4217	 11561 17094
2dmmq8[c]	2dmmq8	2-Demethylmenaquinone-8	C50H70O2	0	cytoplasm	C05818	8113	28192
2dmmql8[c]	2dmmql8	2-Demethylmenaquinol-8	C50H72O2	0	cytoplasm			
2dr1p[c]	2dr1p	2-Deoxy-D-ribose-1-phosphate	C5H9O7P	-2	cytoplasm	C00672	3941	28542
2dr5p[c]	2dr5p	2-Deoxy-D-ribose-5-phosphate	C5H9O7P	-2	cytoplasm	C00673	3942	16132
2h3oppan[c]	2h3oppan	2-Hydroxy-3-oxopropanoate	C3H3O4	-1	cytoplasm	C01146	4376	16992
2h5cmmusa[c]	2h5cmmusa	2-Hydroxy-5-carboxymethylmuconate-Semialdehyde	C8H6O6	-2	cytoplasm	C04642	7231	17142
2hdec9eg3p[c]	2hdec9eg3p	2-hexadec-9-enoyl-sn-glycerol-3-phosphate	C19H36O7P1	-1	cytoplasm	C03974	6693	
2hdec9eg3p[p]	2hdec9eg3p	2-hexadec-9-enoyl-sn-glycerol-3-phosphate	C19H36O7P1	-1	periplasm	C03974	6693	
2hdecg3p[c]	2hdecg3p	2-hexadecanoyl-sn-glycerol-3-phosphate	C19H38O7P1	-1	cytoplasm	C03974	6693	
2hdecg3p[p]	2hdecg3p	2-hexadecanoyl-sn-glycerol-3-phosphate	C19H38O7P1	-1	periplasm	C03974	6693	
2hh24dd[c]	2hh24dd	2-Hydroxyhepta-2-4-dienedioate	C7H6O5	-2	cytoplasm	C05600	7923	
2ippm[c]	2ippm	2-Isopropylmaleate	C7H8O4	-2	cytoplasm	C02631	5611	17275
2kmb[c]	2kmb	2-keto-4-methylthiobutyrate	C5H7O3S	-1	cytoplasm	C01180	5611	17275
2mahmp[c]	2mahmp	2-Methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate	C6H8N3O7P2	-3	cytoplasm	C04752	7322	16629
2mcacn[c]	2mcacn	cis-2-Methylaconitate	C7H5O6	-3	cytoplasm	C04225	6896	16717
2mcit[c]	2mcit	2-Methylcitrate	C7H7O7	-3	cytoplasm	C02225	5290	 10860 30836
2me4p[c]	2me4p	2-C-methyl-D-erythritol-4-phosphate	C5H11O7P	-2	cytoplasm	C11434	13606	17764
2mecdp[c]	2mecdp	2-C-methyl-D-erythritol-2-4-cyclodiphosphate	C5H10O9P2	-2	cytoplasm	C11453	13625	18425
2obut[c]	2obut	2-Oxobutanoate	C4H5O3	-1	cytoplasm	C00109	3409	30831
2odec11eg3p[c]	2odec11eg3p	2-octadec-11-enoyl-sn-glycerol-3-phosphate	C21H40O7P1	-1	cytoplasm	C03974	6693	
2odec11eg3p[p]	2odec11eg3p	2-octadec-11-enoyl-sn-glycerol-3-phosphate	C21H40O7P1	-1	periplasm	C03974	6693	
2odecg3p[c]	2odecg3p	2-octadecanoyl-sn-glycerol-3-phosphate	C21H42O7P1	-1	cytoplasm	C03974	6693	
2odecg3p[p]	2odecg3p	2-octadecanoyl-sn-glycerol-3-phosphate	C21H42O7P1	-1	periplasm	C03974	6693	
2ohph[c]	2ohph	2-Octaprenyl-6-hydroxyphenol	C46H70O2	0	cytoplasm	C05811	8106	1233
2ombzl[c]	2ombzl	2-Octaprenyl-6-methoxy-1-4-benzoquinol	C47H72O3	0	cytoplasm		958 ??5650	17551
2omhmbl[c]	2omhmbl	2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1-4-benzoquinol	C48H74O4	0	cytoplasm	C05815	8110	27688
2ommbl[c]	2ommbl	2-Octaprenyl-3-methyl-6-methoxy-1-4-benzoquinol	C48H74O3	0	cytoplasm	C05814	8109	28636
2omph[c]	2omph	2-Octaprenyl-6-methoxyphenol	C47H72O2	0	cytoplasm	C05812	8107	1235
2oph[c]	2oph	2-Octaprenylphenol	C46H70O	0	cytoplasm	C05810	8105	40407
2p4c2me[c]	2p4c2me	2-phospho-4-cytidine-5-diphospho-2-C-methyl-D-erythritol	C14H22N3O17P3	-4	cytoplasm	C11436	13608	16840
2pg[c]	2pg	D-Glycerate-2-phosphate	C3H4O7P	-3	cytoplasm	C00631	3904	17835
2pg[e]	2pg	D-Glycerate-2-phosphate	C3H4O7P	-3	extra-organism	C00631	3904	17835
2pg[p]	2pg	D-Glycerate-2-phosphate	C3H4O7P	-3	periplasm	C00631	3904	17835
2pglyc[c]	2pglyc	2-Phosphoglycolate	C2H2O6P	-3	cytoplasm	C00988	4234	17150
2shchc[c]	2shchc	2-Succinyl-6-hydroxy-2-4-cyclohexadiene-1-carboxylate	C11H10O6	-2	cytoplasm	C05817	8112	1277
2tdec7eg3p[c]	2tdec7eg3p	2-tetradec-7-enoyl-sn-glycerol-3-phosphate	C17H32O7P1	-1	cytoplasm	C03974	6693	
2tdec7eg3p[p]	2tdec7eg3p	2-tetradec-7-enoyl-sn-glycerol-3-phosphate	C17H32O7P1	-1	periplasm	C03974	6693	
2tdecg3p[c]	2tdecg3p	2-tetradecanoyl-sn-glycerol-3-phosphate	C17H34O7P1	-1	cytoplasm	C03974	6693	
2tdecg3p[p]	2tdecg3p	2-tetradecanoyl-sn-glycerol-3-phosphate	C17H34O7P1	-1	periplasm	C03974	6693	
2tpr3dpcoa[c]	2tpr3dpcoa	2-5-triphosphoribosyl-3-dephospho-CoA	C26H40N7O26P5S	-6	cytoplasm			
34dhpacet[c]	34dhpacet	3-4-Dihydroxyphenylacetate	C8H7O4	-1	cytoplasm	C01161	4388	17612
34dhpac[e]	34dhpac	3-4-Dihydroxyphenylacetaldehyde	C8H8O3	0	extra-organism	C04043	6744	
34dhpac[p]	34dhpac	3-4-Dihydroxyphenylacetaldehyde	C8H8O3	0	periplasm	C04043	6744	
34hpp[c]	34hpp	3-4-Hydroxyphenyl-pyruvate	C9H7O4	-1	cytoplasm	C01179	4406	15999
3amp[e]	3amp	3-AMP	C10H12N5O7P	-2	extra-organism	C01367	4566	28931
3amp[p]	3amp	3-AMP	C10H12N5O7P	-2	periplasm	C01367	4566	28931
3c2hmp[c]	3c2hmp	3-Carboxy-2-hydroxy-4-methylpentanoate	C7H10O5	-2	cytoplasm	C04411	7045	35121
3c3hmp[c]	3c3hmp	3-Carboxy-3-hydroxy-4-methylpentanoate	C7H10O5	-2	cytoplasm	C02504	5516	 1178 35128
3c4mop[c]	3c4mop	3-Carboxy-4-methyl-2-oxopentanoate	C7H8O5	-2	cytoplasm	C04236	6905	1467
3cmp[e]	3cmp	3-cmp	C9H12N3O8P	-2	extra-organism	C05822	8117	
3cmp[p]	3cmp	3-cmp	C9H12N3O8P	-2	periplasm	C05822	8117	
3dhguln[c]	3dhguln	3-Dehydro-L-gulonate	C6H9O7	-1	cytoplasm	C00618	3892	16142
3dhgulnp[c]	3dhgulnp	3-keto-L-gulonate-6-phosphate	C6H8O10P	-3	cytoplasm	C14899		
3dhq[c]	3dhq	3-Dehydroquinate	C7H9O6	-1	cytoplasm	C00944	4196	 17947 32364
3dhsk[c]	3dhsk	3-Dehydroshikimate	C7H7O5	-1	cytoplasm	C02637	5617	30918
3gmp[e]	3gmp	3-GMP	C10H12N5O8P	-2	extra-organism	C06193	8443	
3gmp[p]	3gmp	3-GMP	C10H12N5O8P	-2	periplasm	C06193	8443	
3haACP[c]	3haACP	3R-3-Hydroxyacyl-acyl-carrier-protein	C388H609O144N96P1S3	-1	cytoplasm	C01271	4490	
3hbcoa[c]	3hbcoa	S-3-Hydroxybutanoyl-CoA	C25H38N7O18P3S	-4	cytoplasm	C01144	4375	15453
3hcddec5eACP[c]	3hcddec5eACP	R-3-hydroxy-cis-dodec-5-enoyl-acyl-carrier-protein	C396H623O144N96P1S3	-1	cytoplasm			
3hcinnm[e]	3hcinnm	3-hydroxycinnamic-acid	C9H7O3	-1	extra-organism			
3hcinnm[p]	3hcinnm	3-hydroxycinnamic-acid	C9H7O3	-1	periplasm			
3hcmrs7eACP[c]	3hcmrs7eACP	R-3-hydroxy-cis-myristol-7-eoyl-acyl-carrier-protein	C398H627O144N96P1S3	-1	cytoplasm			
3hcpalm9eACP[c]	3hcpalm9eACP	R-3-hydroxy-cis-palm-9-eoyl-acyl-carrier-protein	C400H631O144N96P1S3	-1	cytoplasm			
3hcvac11eACP[c]	3hcvac11eACP	R-3-hydroxy-cis-vacc-11-enoyl-acyl-carrier-protein	C402H635O144N96P1S3	-1	cytoplasm			
3hdcoa[c]	3hdcoa	S-3-Hydroxydecanoyl-CoA	C31H50N7O18P3S	-4	cytoplasm	C05264	7651	28325
3hddcoa[c]	3hddcoa	S-3-Hydroxydodecanoyl-CoA	C33H54N7O18P3S	-4	cytoplasm	C05262	7649	27668
3hddecACP[c]	3hddecACP	R-3-Hydroxydodecanoyl-acyl-carrier-protein	C396H625O144N96P1S3	-1	cytoplasm	C05757	8052	
3hdecACP[c]	3hdecACP	R-3-Hydroxydecanoyl-acyl-carrier-protein	C394H621O144N96P1S3	-1	cytoplasm	C04619	7209	
3hhcoa[c]	3hhcoa	S-3-Hydroxyhexanoyl-CoA	C27H42N7O18P3S	-4	cytoplasm	C05268	7655	28276
3hhdcoa[c]	3hhdcoa	S-3-Hydroxyhexadecanoyl-CoA	C37H62N7O18P3S	-4	cytoplasm	C05258	7645	27402
3hhexACP[c]	3hhexACP	R-3-Hydroxyhexanoyl-acyl-carrier-protein	C390H613O144N96P1S3	-1	cytoplasm	C05747	8042	
3hmrsACP[c]	3hmrsACP	R-3-Hydroxytetradecanoyl-acyl-carrier-protein	C398H629O144N96P1S3	-1	cytoplasm	C04688	7269	
3hocoa[c]	3hocoa	S-3-Hydroxyoctanoyl-CoA	C29H46N7O18P3S	-4	cytoplasm	C05266	7653	28632
3hoctACP[c]	3hoctACP	R-3-Hydroxyoctanoyl-acyl-carrier-protein	C392H617O144N96P1S3	-1	cytoplasm	C04620	7210	
3hoctaACP[c]	3hoctaACP	R-3-Hydroxyoctadecanoyl-acyl-carrier-protein	C402H637O144N96P1S3	-1	cytoplasm			
3hodcoa[c]	3hodcoa	S-3-Hydroxyoctadecanoyl-CoA	C39H66N7O18P3S	-4	cytoplasm			
3hpalmACP[c]	3hpalmACP	R-3-hydroxypalmitoyl-acyl-carrier-protein	C400H633O144N96P1S3	-1	cytoplasm	C04633	7222	
3hpppn[e]	3hpppn	3-3-hydroxy-phenyl-propionate	C9H9O3	-1	extra-organism			
3hpppn[p]	3hpppn	3-3-hydroxy-phenyl-propionate	C9H9O3	-1	periplasm			
3htdcoa[c]	3htdcoa	S-3-Hydroxytetradecanoyl-CoA	C35H58N7O18P3S	-4	cytoplasm	C05260	7647	27466
3ig3p[c]	3ig3p	C-3-Indolyl-glycerol-3-phosphate	C11H12NO6P	-2	cytoplasm	C03506	6317	18299
3mob[c]	3mob	3-Methyl-2-oxobutanoate	C5H7O3	-1	cytoplasm	C00141	3441	 11851 16530
3mop[c]	3mop	S-3-Methyl-2-oxopentanoate	C6H9O3	-1	cytoplasm	C00671	3940	15614
